region,year,price,type
Česká republika,2019,34513,Rodinné domy
Hlavní město Praha,2019,65815,Rodinné domy
Středočeský kraj,2019,42935,Rodinné domy
Benešov,2019,33086,Rodinné domy
Beroun,2019,36014,Rodinné domy
Kladno,2019,34993,Rodinné domy
Kolín,2019,30355,Rodinné domy
Kutná Hora,2019,29307,Rodinné domy
Mělník,2019,34023,Rodinné domy
Mladá Boleslav,2019,34668,Rodinné domy
Nymburk,2019,28524,Rodinné domy
Praha-východ,2019,55763,Rodinné domy
Praha-západ,2019,56992,Rodinné domy
Příbram,2019,29090,Rodinné domy
Rakovník,2019,26638,Rodinné domy
Jihočeský kraj,2019,30287,Rodinné domy
České Budějovice,2019,35898,Rodinné domy
Český Krumlov,2019,28417,Rodinné domy
Jindřichův Hradec,2019,25147,Rodinné domy
Písek,2019,29225,Rodinné domy
Prachatice,2019,23403,Rodinné domy
Strakonice,2019,28293,Rodinné domy
Tábor,2019,25615,Rodinné domy
Plzeňský kraj,2019,30845,Rodinné domy
Domažlice,2019,26860,Rodinné domy
Klatovy,2019,24009,Rodinné domy
Plzeň-jih,2019,25284,Rodinné domy
Plzeň-město,2019,42972,Rodinné domy
Plzeň-sever,2019,29345,Rodinné domy
Rokycany,2019,26963,Rodinné domy
Tachov,2019,28145,Rodinné domy
Karlovarský kraj,2019,25415,Rodinné domy
Cheb,2019,26666,Rodinné domy
Karlovy Vary,2019,27472,Rodinné domy
Sokolov,2019,21422,Rodinné domy
Ústecký kraj,2019,25357,Rodinné domy
Děčín,2019,23444,Rodinné domy
Chomutov,2019,25107,Rodinné domy
Litoměřice,2019,22479,Rodinné domy
Louny,2019,25554,Rodinné domy
Most,2019,30608,Rodinné domy
Teplice,2019,28224,Rodinné domy
Ústí nad Labem,2019,29981,Rodinné domy
Liberecký kraj,2019,30149,Rodinné domy
Česká Lípa,2019,26473,Rodinné domy
Jablonec nad Nisou,2019,28247,Rodinné domy
Liberec,2019,34416,Rodinné domy
Semily,2019,25784,Rodinné domy
Královéhradecký kraj,2019,30327,Rodinné domy
Hradec Králové,2019,37321,Rodinné domy
Jičín,2019,26423,Rodinné domy
Náchod,2019,26008,Rodinné domy
Rychnov nad Kněžnou,2019,27806,Rodinné domy
Trutnov,2019,27657,Rodinné domy
Pardubický kraj,2019,29817,Rodinné domy
Chrudim,2019,25689,Rodinné domy
Pardubice,2019,37083,Rodinné domy
Svitavy,2019,27555,Rodinné domy
Ústí nad Orlicí,2019,26060,Rodinné domy
Kraj Vysočina,2019,28721,Rodinné domy
Havlíčkův Brod,2019,26896,Rodinné domy
Jihlava,2019,34462,Rodinné domy
Pelhřimov,2019,26071,Rodinné domy
Třebíč,2019,25433,Rodinné domy
Žďár nad Sázavou,2019,26326,Rodinné domy
Jihomoravský kraj,2019,33430,Rodinné domy
Blansko,2019,29177,Rodinné domy
Brno-město,2019,52142,Rodinné domy
Brno-venkov,2019,33348,Rodinné domy
Břeclav,2019,27642,Rodinné domy
Hodonín,2019,25633,Rodinné domy
Vyškov,2019,28802,Rodinné domy
Znojmo,2019,28994,Rodinné domy
Olomoucký kraj,2019,25538,Rodinné domy
Jeseník,2019,18877,Rodinné domy
Olomouc,2019,30537,Rodinné domy
Prostějov,2019,24561,Rodinné domy
Přerov,2019,22567,Rodinné domy
Šumperk,2019,23326,Rodinné domy
Zlínský kraj,2019,24666,Rodinné domy
Kroměříž,2019,21601,Rodinné domy
Uherské Hradiště,2019,22809,Rodinné domy
Vsetín,2019,24345,Rodinné domy
Zlín,2019,28342,Rodinné domy
Moravskoslezský kraj,2019,28521,Rodinné domy
Bruntál,2019,22560,Rodinné domy
Frýdek-Místek,2019,29665,Rodinné domy
Karviná,2019,28128,Rodinné domy
Nový Jičín,2019,26407,Rodinné domy
Opava,2019,27186,Rodinné domy
Ostrava-město,2019,35267,Rodinné domy
Česká republika,2020,37244,Rodinné domy
Hlavní město Praha,2020,79703,Rodinné domy
Středočeský kraj,2020,47670,Rodinné domy
Benešov,2020,35006,Rodinné domy
Beroun,2020,43155,Rodinné domy
Kladno,2020,41004,Rodinné domy
Kolín,2020,35025,Rodinné domy
Kutná Hora,2020,33010,Rodinné domy
Mělník,2020,36815,Rodinné domy
Mladá Boleslav,2020,38659,Rodinné domy
Nymburk,2020,30407,Rodinné domy
Praha-východ,2020,64587,Rodinné domy
Praha-západ,2020,63822,Rodinné domy
Příbram,2020,32368,Rodinné domy
Rakovník,2020,31163,Rodinné domy
Jihočeský kraj,2020,33414,Rodinné domy
České Budějovice,2020,38666,Rodinné domy
Český Krumlov,2020,30159,Rodinné domy
Jindřichův Hradec,2020,29854,Rodinné domy
Písek,2020,27815,Rodinné domy
Prachatice,2020,29571,Rodinné domy
Strakonice,2020,30078,Rodinné domy
Tábor,2020,32778,Rodinné domy
Plzeňský kraj,2020,32923,Rodinné domy
Domažlice,2020,24906,Rodinné domy
Klatovy,2020,29315,Rodinné domy
Plzeň-jih,2020,28978,Rodinné domy
Plzeň-město,2020,46606,Rodinné domy
Plzeň-sever,2020,31522,Rodinné domy
Rokycany,2020,30071,Rodinné domy
Tachov,2020,26723,Rodinné domy
Karlovarský kraj,2020,28661,Rodinné domy
Cheb,2020,28201,Rodinné domy
Karlovy Vary,2020,32215,Rodinné domy
Sokolov,2020,25953,Rodinné domy
Ústecký kraj,2020,28258,Rodinné domy
Děčín,2020,26182,Rodinné domy
Chomutov,2020,28689,Rodinné domy
Litoměřice,2020,26040,Rodinné domy
Louny,2020,25824,Rodinné domy
Most,2020,32284,Rodinné domy
Teplice,2020,30440,Rodinné domy
Ústí nad Labem,2020,40271,Rodinné domy
Liberecký kraj,2020,34316,Rodinné domy
Česká Lípa,2020,31146,Rodinné domy
Jablonec nad Nisou,2020,32233,Rodinné domy
Liberec,2020,38720,Rodinné domy
Semily,2020,28287,Rodinné domy
Královéhradecký kraj,2020,32374,Rodinné domy
Hradec Králové,2020,39379,Rodinné domy
Jičín,2020,25522,Rodinné domy
Náchod,2020,27690,Rodinné domy
